name,institution,count_reviews,rating_mean
Foundations for Big Data Analysis with SQL,Cloudera,453,4.81
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,237,4.71
Perfect Tenses and Modals,"University of California, Irvine",2070,4.81
Getting Started with Azure,LearnQuest,137,4.18
Moralities of Everyday Life,Yale University,1416,4.82
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,1007,4.9
Understanding child development: from synapse to society,Utrecht University,132,4.64
Introduction to G Suite,Google Cloud,945,4.63
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,8202,4.93
Building Batch Data Pipelines on GCP,Google Cloud,375,4.36
Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,180,4.33
Quantitative Methods,University of Amsterdam,1657,4.75
"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",University of Rochester,196,4.91
The Technology of Music Production,Berklee College of Music,619,4.9
Code Yourself! An Introduction to Programming,The University of Edinburgh,1706,4.81
Success,University of Pennsylvania,678,4.93
Chemicals and Health,Johns Hopkins University,542,4.86
Improving your statistical inferences,Eindhoven University of Technology,579,4.89
Fundamentals of Finance,University of Pennsylvania,27,3.89
How Google does Machine Learning,Google Cloud,2841,4.48
Object-Oriented Design,University of Alberta,818,4.58
Introduction to Intellectual Property,University of Pennsylvania,221,4.83
Cost and Economics in Pricing Strategy,BCG,284,4.82
Write A Feature Length Screenplay For Film Or Television,Michigan State University,90,4.67
Marketing Gerencial,Universidad de Chile,1801,4.72
Corporate Finance Essentials,IESE Business School,1689,4.87
Information Security: Context and Introduction,"Royal Holloway, University of London",1008,4.67
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,588,4.78
Introduction to CSS3,University of Michigan,4521,4.81
Applied Data Science Capstone,IBM,1665,4.53
Introduction aux Droits de l’Homme,University of Geneva,1078,4.89
"Programming Languages, Part A",University of Washington,1099,4.94
Big History: Connecting Knowledge,Macquarie University,1094,4.8
